Cases_CaseNumber,Products_ProductID,Products_Department,CaseTasks_Department
450474,DENBB,Removables,BUSOFF
450474,DENBB,Removables,Removables
450474,DENBB,Removables,REMQC
450474,INFCONT,MISC,BUSOFF
450474,DENBB,Removables,SCHEDULING
450474,INFCONT,MISC,Removables
450474,INFCONT,MISC,REMQC
450474,INFCONT,MISC,SCHEDULING
450250,CRNCS,C&B,Brux Porcelain
450250,CRNCS,C&B,C&B
450250,CRNCS,C&B,Fixed QC
450250,CRNCS,C&B,CAD Mill crown/coping
450250,CRNCS,C&B,Invoice and Ship
450250,CRNCS,C&B,CUSTSHADE
450250,CRNCS,C&B,PORCELAIN
450250,CRNCS,C&B,Die Trim
450250,CRNCS,C&B,Scan for crowns
450250,CRNCS,C&B,FIXED MODELS
450250,CRNCS,C&B,SCHEDULING
450250,CRNCS,C&B,Outsource Design full contour
450250,CRNCS,C&B,Sinter
450250,CRNEZZ,C&B,C&B
450250,CRNCS,C&B,Stain & Glaze
450250,CRNEZZ,C&B,CAD Mill crown/coping
450250,CRNEZZ,C&B,Brux Porcelain
450250,CRNEZZ,C&B,CUSTSHADE
450250,CRNEZZ,C&B,Fixed QC
450250,CRNEZZ,C&B,Die Trim
450250,CRNEZZ,C&B,Invoice and Ship
450250,CRNEZZ,C&B,FIXED MODELS
450250,CRNEZZ,C&B,Scan for crowns
450250,CRNEZZ,C&B,Outsource Design full contour
450250,CRNEZZ,C&B,Sinter
450250,CRNEZZ,C&B,PORCELAIN
450250,CRNEZZ,C&B,Stain & Glaze
450250,CRNEZZ,C&B,SCHEDULING
450263,DIGEZZCRN,C&B,Brux Porcelain
450263,DIGEZZCRN,C&B,Fixed QC
450263,DIGEZZCRN,C&B,CAD Mill crown/coping
450263,DIGEZZCRN,C&B,Outsource Design full contour
450263,DIGEZZCRN,C&B,FIXED MODELS
450263,DIGEZZCRN,C&B,Sinter
450263,DIGEZZCRN,C&B,Invoice and Ship
450263,DIGEZZCRN,C&B,SCHEDULING
450263,DIGEZZCRN,C&B,Stain & Glaze
450376,DIGBRUXCRN,C&B,BUSOFF
450376,DIGBRUXCRN,C&B,CAD DESIGN
450376,DIGBRUXCRN,C&B,C&B
